"V1" "geneID" "pSex" "meanM" "meanF" "sexbias" "bias" "pSex_MA" "meanM_MA" "meanF_MA" "sexbias_MA" "bias_MA" "pSex_BH" "pSex_BH_MA" "meandifdif" "meandifdiv" "meandifdiffoSexBiasmales" "meandifdiffoSexBiasfemales" "meandifdifmoSexBiase" "deltaM_M" "deltaM_F" "CHROM" "CHROM_SH"
"23" 23 "LOC110178574" 0.175135854365228 5.85521341776334 5.79375126852726 0.0614621492360756 "U" 1.05927724207888e-28 5.85233871271632 5.66254201411364 0.189796698602677 "U" 0.185006295421153 1.2655195635495e-28 0.128334549366601 3.08802573554123 -0.00287470504702014 -0.13120925441362 0.1283345493666 -0.00175344654529766 -0.0808810144464072 "2R" "Auto"
"24" 24 "LOC110178895" 1.8286321747984e-05 4.15974102221489 5.89037157710425 -1.73063055488937 "F" 1.11670617978252e-165 4.17963646839083 5.60400570913745 -1.42436924074662 "F" 8.18940777033722e-05 4.6281136894243e-165 -0.30626131414275 0.823034839366784 0.0198954461759397 -0.2863658679668 0.306261314142739 0.0170816318935732 -0.173628306695272 "2R" "Auto"
"25" 25 "LOC110178906" 5.73093538413441e-05 6.61056506850774 7.53084426181783 -0.920279193310092 "U" 1.52589429850308e-108 6.30841874860554 7.23673274732806 -0.928313998722518 "U" 0.000167740397315299 3.05915444854873e-108 0.00803480541242596 1.00873083458893 -0.3021463199022 -0.29411151448977 -0.0080348054124304 -0.163237785040713 -0.13947948324473 "2R" "Auto"
"26" 26 "LOC110179895" 5.03691931256561e-07 4.96520476174832 7.75544209376778 -2.79023733201946 "F" 2.69554138747522e-245 4.66434807724201 7.25662552014531 -2.5922774429033 "F" 2.2528091166125e-05 5.01663138881296e-244 -0.19795988911616 0.929052669877051 -0.300856684506311 -0.49881657362247 0.197959889116159 -0.216403594717566 -0.229708086450543 "2R" "Auto"
"27" 27 "LOC110188120" 8.93710959739295e-05 7.2162892115125 6.78728515186507 0.429004059647427 "U" 8.12032409878037e-81 7.03982505588947 6.7325906108463 0.307234445043169 "U" 0.000227053225476586 1.29292730959394e-80 -0.121769614604258 0.716157430527969 -0.176464155623029 -0.0546945410187698 -0.12176961460426 -0.0873342390739647 -0.0287799380937944 "2R" "Auto"
"28" 28 "LOC110179992" 0.000298970476097438 5.90509102892013 4.18125805866831 1.72383297025182 "M" 2.91089147341746e-149 5.83639297020927 4.53490252854871 1.30149044166056 "M" 0.000562646321699233 9.49559512887027e-149 -0.42234252859126 0.754997998135769 -0.0686980587108597 0.3536444698804 -0.42234252859126 -0.0415489293018586 0.302066016049923 "2R" "Auto"
"29" 29 "LOC110180254" 2.87234175598281e-06 7.67844340123921 3.00163448141942 4.67680891981978 "M" 1.25615125541663e-245 7.78533626845819 4.05741564778442 3.72792062067378 "M" 3.36916252053053e-05 2.34888378115939e-244 -0.948888299146 0.7971077468817 0.10689286721898 1.055781166365 -0.94888829914602 0.0497184416318251 1.25619793018538 "2R" "Auto"
"30" 30 "LOC110191671" 3.99132254640642e-05 5.1081684906508 6.8579929895085 -1.7498244988577 "F" 5.78020362110505e-174 5.02002198893489 6.36302023815646 -1.34299824922157 "F" 0.000132275423737182 2.73123274096646e-173 -0.40682624963613 0.767504541225872 -0.0881465017159098 -0.494972751352041 0.406826249636131 -0.0616285338425808 -0.257766350732881 "2R" "Auto"
"31" 31 "LOC110191692" 0.000178765568035089 7.16971877815929 7.51467839937551 -0.344959621216218 "U" 2.19980558205053e-39 5.94370163708605 6.58561617106145 -0.641914533975394 "U" 0.000378695059695272 2.75884708327412e-39 0.296954912759176 1.86083963019268 -1.22601714107324 -0.92906222831406 -0.296954912759181 -0.610711909653769 -0.441546425607737 "2R" "Auto"
"32" 32 "LOC110184629" 0.00845347140438019 7.4359208860529 7.83445103589412 -0.398530149841227 "U" 2.50352478321098e-06 7.41321234306326 7.25002725619911 0.163185086864145 "U" 0.0103053210029297 2.67687182443331e-06 -0.235345062977082 -0.409467356307063 -0.0227085429896396 -0.58442377969501 0.56171523670537 -0.0109067781235853 -0.266416597035612 "2R" "Auto"
